config,prompt_kind,trial,tg_tps,pp_tps,predicted_n,prompt_n,wall_s,ok,notes
baseline,chat_short,0,35.630,112.978,256,27,7.4,1,
baseline,chat_short,1,35.810,126.700,256,27,7.4,1,
baseline,chat_short,2,35.316,108.132,256,27,7.5,1,
baseline,code_short,0,35.299,116.003,91,37,2.9,1,
baseline,code_short,1,35.129,123.892,91,37,2.9,1,
baseline,code_short,2,35.385,122.418,91,37,2.9,1,
baseline,agent_long_8k,0,23.674,33.057,256,9525,299.0,1,
baseline,agent_long_8k,1,23.771,37.884,256,4,10.9,1,
baseline,agent_long_8k,2,23.692,34.738,256,4,10.9,1,
ngram_mod,chat_short,0,35.432,125.371,256,27,7.4,1,
ngram_mod,chat_short,1,41.862,124.951,94,27,2.5,1,
ngram_mod,chat_short,2,41.088,116.479,256,27,6.5,1,
ngram_mod,code_short,0,35.844,125.667,91,37,2.9,1,
ngram_mod,code_short,1,39.125,129.109,87,37,2.5,1,
ngram_mod,code_short,2,62.198,131.606,87,37,1.7,1,
ngram_mod,agent_long_8k,0,24.129,33.544,256,9525,294.6,1,
ngram_mod,agent_long_8k,1,30.414,38.619,256,4,8.6,1,
ngram_mod,agent_long_8k,2,33.386,38.529,256,4,7.8,1,
