timestamp,target,draft,backend,threads,draft_max,n_predict_req,prompt_idx,n_drafted,n_accept,accept_pct,decoded_tokens,decoded_seconds,decoded_tok_per_sec,encoded_tok_per_sec,wallclock_s
2026-04-22T22:27:31.242634-07:00,Qwen3-8B-Q4_K_M.gguf,qwen3_0_6b_draft_v81_ctx256.pathb.bin,npu-draft+cpu-target,18,2,200,0,180,110,61.111,200,18.896,10.584,0.0,18.99
2026-04-22T22:27:48.214812-07:00,Qwen3-8B-Q4_K_M.gguf,qwen3_0_6b_draft_v81_ctx256.pathb.bin,npu-draft+cpu-target,18,3,200,0,225,125,55.556,200,16.886,11.844,0.0,16.96
2026-04-22T22:28:08.456411-07:00,Qwen3-8B-Q4_K_M.gguf,qwen3_0_6b_draft_v81_ctx256.pathb.bin,npu-draft+cpu-target,18,4,200,0,272,133,48.897,201,20.14,9.98,0.0,20.24
2026-04-22T22:28:45.181157-07:00,Qwen3-8B-Q4_K_M.gguf,qwen3_0_6b_draft_v81_ctx256.pathb.bin,npu-draft+cpu-target,18,8,200,0,464,143,30.819,201,36.573,5.496,0.0,36.73
2026-04-22T22:29:00.762216-07:00,Qwen3-8B-Q4_K_M.gguf,qwen3_0_6b_draft_v81_ctx256.pathb.bin,npu-draft+cpu-target,18,2,200,1,152,126,82.895,202,15.483,13.046,0.0,15.58
2026-04-22T22:29:17.199400-07:00,Qwen3-8B-Q4_K_M.gguf,qwen3_0_6b_draft_v81_ctx256.pathb.bin,npu-draft+cpu-target,18,3,200,1,180,143,79.444,203,16.343,12.422,0.0,16.44
2026-04-22T22:29:35.196859-07:00,Qwen3-8B-Q4_K_M.gguf,qwen3_0_6b_draft_v81_ctx256.pathb.bin,npu-draft+cpu-target,18,4,200,1,212,151,71.226,204,17.911,11.39,0.0,18.0
2026-04-22T22:29:58.302054-07:00,Qwen3-8B-Q4_K_M.gguf,qwen3_0_6b_draft_v81_ctx256.pathb.bin,npu-draft+cpu-target,18,8,200,1,296,171,57.77,208,22.962,9.059,0.0,23.11
2026-04-22T22:30:12.327776-07:00,Qwen3-8B-Q4_K_M.gguf,qwen3_0_6b_draft_v81_ctx256.pathb.bin,npu-draft+cpu-target,18,2,200,2,156,122,78.205,200,13.902,14.386,0.0,14.02
2026-04-22T22:30:27.585170-07:00,Qwen3-8B-Q4_K_M.gguf,qwen3_0_6b_draft_v81_ctx256.pathb.bin,npu-draft+cpu-target,18,3,200,2,198,135,68.182,201,15.161,13.258,0.0,15.26
2026-04-22T22:30:46.280460-07:00,Qwen3-8B-Q4_K_M.gguf,qwen3_0_6b_draft_v81_ctx256.pathb.bin,npu-draft+cpu-target,18,4,200,2,240,142,59.167,202,18.547,10.891,0.0,18.69
2026-04-22T22:31:15.458408-07:00,Qwen3-8B-Q4_K_M.gguf,qwen3_0_6b_draft_v81_ctx256.pathb.bin,npu-draft+cpu-target,18,8,200,2,352,160,45.455,204,29.073,7.017,0.0,29.18
2026-04-22T22:31:30.769567-07:00,Qwen3-8B-Q4_K_M.gguf,qwen3_0_6b_draft_v81_ctx256.pathb.bin,npu-draft+cpu-target,18,2,200,3,166,119,71.687,202,15.236,13.258,0.0,15.31
2026-04-22T22:31:47.404005-07:00,Qwen3-8B-Q4_K_M.gguf,qwen3_0_6b_draft_v81_ctx256.pathb.bin,npu-draft+cpu-target,18,3,200,3,201,136,67.662,203,16.54,12.273,0.0,16.63
2026-04-22T22:32:07.420323-07:00,Qwen3-8B-Q4_K_M.gguf,qwen3_0_6b_draft_v81_ctx256.pathb.bin,npu-draft+cpu-target,18,4,200,3,240,144,60.0,204,19.914,10.244,0.0,20.02
2026-04-22T22:32:35.999760-07:00,Qwen3-8B-Q4_K_M.gguf,qwen3_0_6b_draft_v81_ctx256.pathb.bin,npu-draft+cpu-target,18,8,200,3,360,163,45.278,208,28.452,7.311,0.0,28.58
2026-04-22T22:32:51.517035-07:00,Qwen3-8B-Q4_K_M.gguf,qwen3_0_6b_draft_v81_ctx256.pathb.bin,npu-draft+cpu-target,18,2,200,4,176,114,64.773,202,15.432,13.09,0.0,15.52
2026-04-22T22:33:09.342391-07:00,Qwen3-8B-Q4_K_M.gguf,qwen3_0_6b_draft_v81_ctx256.pathb.bin,npu-draft+cpu-target,18,3,200,4,234,125,53.419,203,17.678,11.483,0.0,17.83
2026-04-22T22:33:31.998380-07:00,Qwen3-8B-Q4_K_M.gguf,qwen3_0_6b_draft_v81_ctx256.pathb.bin,npu-draft+cpu-target,18,4,200,4,280,134,47.857,204,22.561,9.042,0.0,22.66
2026-04-22T22:34:11.652822-07:00,Qwen3-8B-Q4_K_M.gguf,qwen3_0_6b_draft_v81_ctx256.pathb.bin,npu-draft+cpu-target,18,8,200,4,472,145,30.72,204,39.555,5.157,0.0,39.65
2026-04-22T22:34:28.977168-07:00,Qwen3-8B-Q4_K_M.gguf,qwen3_0_6b_draft_v81_ctx256.pathb.bin,npu-draft+cpu-target,18,2,200,5,180,110,61.111,200,17.241,11.601,0.0,17.32
2026-04-22T22:34:47.320441-07:00,Qwen3-8B-Q4_K_M.gguf,qwen3_0_6b_draft_v81_ctx256.pathb.bin,npu-draft+cpu-target,18,3,200,5,219,127,57.991,200,18.255,10.956,0.0,18.34
2026-04-22T22:35:09.147682-07:00,Qwen3-8B-Q4_K_M.gguf,qwen3_0_6b_draft_v81_ctx256.pathb.bin,npu-draft+cpu-target,18,4,200,5,268,133,49.627,200,21.75,9.195,0.0,21.83
2026-04-22T22:35:43.769289-07:00,Qwen3-8B-Q4_K_M.gguf,qwen3_0_6b_draft_v81_ctx256.pathb.bin,npu-draft+cpu-target,18,8,200,5,432,146,33.796,200,34.526,5.793,0.0,34.62
2026-04-22T22:36:00.665594-07:00,Qwen3-8B-Q4_K_M.gguf,qwen3_0_6b_draft_v81_ctx256.pathb.bin,npu-draft+cpu-target,18,2,200,6,186,109,58.602,202,16.824,12.007,0.0,16.9
2026-04-22T22:36:20.575329-07:00,Qwen3-8B-Q4_K_M.gguf,qwen3_0_6b_draft_v81_ctx256.pathb.bin,npu-draft+cpu-target,18,3,200,6,243,122,50.206,203,19.816,10.244,0.0,19.9
