input log file location, C:\Users\hotschmoe\Documents\GitHub\specula\results\qualcomm_dissect\prof\clean2\qnn-profiling-data_0.log
qnn-profile-viewer version, v2.45.40.260406130939
qnn-net-run version, v2.45.40.260406130939
Backend version, v2.45.40.260406130939
Msg Timestamp, Message, Time, Unit of Measurement, Timing Source, Event Level, Event Identifier
17992056542,INIT,1504405,US,NETRUN,ROOT,null
17992056542,INIT,722748,US,BACKEND,ROOT,RPC (load binary) time
17992056542,INIT,692817,US,BACKEND,ROOT,QNN accelerator (load binary) time
17992056542,INIT,55248,US,BACKEND,ROOT,Accelerator (load binary) time
17992056542,INIT,56019,US,BACKEND,ROOT,Accelerator (load binary) time
17992056542,INIT,53979,US,BACKEND,ROOT,Accelerator (load binary) time
17992056542,INIT,54846,US,BACKEND,ROOT,Accelerator (load binary) time
17992056542,INIT,64059,US,BACKEND,ROOT,Accelerator (load binary) time
17992056542,INIT,56135,US,BACKEND,ROOT,Accelerator (load binary) time
17992056542,INIT,84328,US,BACKEND,ROOT,Accelerator (load binary) time
17992056542,INIT,70712,US,BACKEND,ROOT,Accelerator (load binary) time
17992056542,INIT,101614,US,BACKEND,ROOT,Accelerator (load binary) time
17992056542,INIT,92401,US,BACKEND,ROOT,Accelerator (load binary) time
17992056542,INIT,1504373,US,BACKEND,ROOT,QNN (load binary) time
0,COMPOSE GRAPHS,0,US,NETRUN,ROOT,null
18015074960,DE-INIT,606212,US,NETRUN,ROOT,null
18015074960,DE-INIT,1676,US,BACKEND,ROOT,RPC (deinit) time
18015074960,DE-INIT,1442,US,BACKEND,ROOT,QNN Accelerator (deinit) time
18015074960,DE-INIT,217,US,BACKEND,ROOT,Accelerator (deinit) time
18015074960,DE-INIT,88,US,BACKEND,ROOT,Accelerator (deinit) time
18015074960,DE-INIT,93,US,BACKEND,ROOT,Accelerator (deinit) time
18015074960,DE-INIT,82,US,BACKEND,ROOT,Accelerator (deinit) time
18015074960,DE-INIT,85,US,BACKEND,ROOT,Accelerator (deinit) time
18015074960,DE-INIT,85,US,BACKEND,ROOT,Accelerator (deinit) time
18015074960,DE-INIT,86,US,BACKEND,ROOT,Accelerator (deinit) time
18015074960,DE-INIT,87,US,BACKEND,ROOT,Accelerator (deinit) time
18015074960,DE-INIT,82,US,BACKEND,ROOT,Accelerator (deinit) time
18015074960,DE-INIT,494,US,BACKEND,ROOT,Accelerator (deinit) time
18015074960,DE-INIT,606179,US,BACKEND,ROOT,QNN (deinit) time
17992257015,EXECUTE,13399,US,NETRUN,ROOT,Graph 0: prompt_ar128_cl512_2_of_4
17992257015,EXECUTE,8,COUNT,BACKEND,ROOT,Number of HVX threads used
17992257015,EXECUTE,13297,US,BACKEND,ROOT,RPC (execute) time
17992257015,EXECUTE,12413,US,BACKEND,ROOT,QNN accelerator (execute) time
17992257015,EXECUTE,12179,US,BACKEND,ROOT,Accelerator (execute) time
17992257015,EXECUTE,11599,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
17992257015,EXECUTE,13375,US,BACKEND,ROOT,QNN (execute) time
17996456069,EXECUTE,12313,US,NETRUN,ROOT,Graph 0: prompt_ar128_cl512_2_of_4
17996456069,EXECUTE,8,COUNT,BACKEND,ROOT,Number of HVX threads used
17996456069,EXECUTE,12250,US,BACKEND,ROOT,RPC (execute) time
17996456069,EXECUTE,11942,US,BACKEND,ROOT,QNN accelerator (execute) time
17996456069,EXECUTE,11757,US,BACKEND,ROOT,Accelerator (execute) time
17996456069,EXECUTE,11661,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
17996456069,EXECUTE,12305,US,BACKEND,ROOT,QNN (execute) time
17998879737,EXECUTE,12331,US,NETRUN,ROOT,Graph 0: prompt_ar128_cl512_2_of_4
17998879737,EXECUTE,8,COUNT,BACKEND,ROOT,Number of HVX threads used
17998879737,EXECUTE,12249,US,BACKEND,ROOT,RPC (execute) time
17998879737,EXECUTE,11919,US,BACKEND,ROOT,QNN accelerator (execute) time
17998879737,EXECUTE,11737,US,BACKEND,ROOT,Accelerator (execute) time
17998879737,EXECUTE,11648,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
17998879737,EXECUTE,12316,US,BACKEND,ROOT,QNN (execute) time
18000886066,EXECUTE,12391,US,NETRUN,ROOT,Graph 0: prompt_ar128_cl512_2_of_4
18000886066,EXECUTE,8,COUNT,BACKEND,ROOT,Number of HVX threads used
18000886066,EXECUTE,12318,US,BACKEND,ROOT,RPC (execute) time
18000886066,EXECUTE,11939,US,BACKEND,ROOT,QNN accelerator (execute) time
18000886066,EXECUTE,11752,US,BACKEND,ROOT,Accelerator (execute) time
18000886066,EXECUTE,11654,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
18000886066,EXECUTE,12377,US,BACKEND,ROOT,QNN (execute) time
18002802201,EXECUTE,12064,US,NETRUN,ROOT,Graph 0: prompt_ar128_cl512_2_of_4
18002802201,EXECUTE,8,COUNT,BACKEND,ROOT,Number of HVX threads used
18002802201,EXECUTE,12006,US,BACKEND,ROOT,RPC (execute) time
18002802201,EXECUTE,11890,US,BACKEND,ROOT,QNN accelerator (execute) time
18002802201,EXECUTE,11720,US,BACKEND,ROOT,Accelerator (execute) time
18002802201,EXECUTE,11627,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
18002802201,EXECUTE,12058,US,BACKEND,ROOT,QNN (execute) time
18004720438,EXECUTE,12263,US,NETRUN,ROOT,Graph 0: prompt_ar128_cl512_2_of_4
18004720438,EXECUTE,8,COUNT,BACKEND,ROOT,Number of HVX threads used
18004720438,EXECUTE,12203,US,BACKEND,ROOT,RPC (execute) time
18004720438,EXECUTE,11895,US,BACKEND,ROOT,QNN accelerator (execute) time
18004720438,EXECUTE,11710,US,BACKEND,ROOT,Accelerator (execute) time
18004720438,EXECUTE,11616,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
18004720438,EXECUTE,12253,US,BACKEND,ROOT,QNN (execute) time
18006639396,EXECUTE,12483,US,NETRUN,ROOT,Graph 0: prompt_ar128_cl512_2_of_4
18006639396,EXECUTE,8,COUNT,BACKEND,ROOT,Number of HVX threads used
18006639396,EXECUTE,12415,US,BACKEND,ROOT,RPC (execute) time
18006639396,EXECUTE,12041,US,BACKEND,ROOT,QNN accelerator (execute) time
18006639396,EXECUTE,11842,US,BACKEND,ROOT,Accelerator (execute) time
18006639396,EXECUTE,11743,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
18006639396,EXECUTE,12474,US,BACKEND,ROOT,QNN (execute) time
18008539001,EXECUTE,12316,US,NETRUN,ROOT,Graph 0: prompt_ar128_cl512_2_of_4
18008539001,EXECUTE,8,COUNT,BACKEND,ROOT,Number of HVX threads used
18008539001,EXECUTE,12250,US,BACKEND,ROOT,RPC (execute) time
18008539001,EXECUTE,11953,US,BACKEND,ROOT,QNN accelerator (execute) time
18008539001,EXECUTE,11771,US,BACKEND,ROOT,Accelerator (execute) time
18008539001,EXECUTE,11672,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
18008539001,EXECUTE,12305,US,BACKEND,ROOT,QNN (execute) time
18010448788,EXECUTE,12289,US,NETRUN,ROOT,Graph 0: prompt_ar128_cl512_2_of_4
18010448788,EXECUTE,8,COUNT,BACKEND,ROOT,Number of HVX threads used
18010448788,EXECUTE,12227,US,BACKEND,ROOT,RPC (execute) time
18010448788,EXECUTE,11930,US,BACKEND,ROOT,QNN accelerator (execute) time
18010448788,EXECUTE,11747,US,BACKEND,ROOT,Accelerator (execute) time
18010448788,EXECUTE,11651,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
18010448788,EXECUTE,12279,US,BACKEND,ROOT,QNN (execute) time
18012362705,EXECUTE,12313,US,NETRUN,ROOT,Graph 0: prompt_ar128_cl512_2_of_4
18012362705,EXECUTE,8,COUNT,BACKEND,ROOT,Number of HVX threads used
18012362705,EXECUTE,12252,US,BACKEND,ROOT,RPC (execute) time
18012362705,EXECUTE,11967,US,BACKEND,ROOT,QNN accelerator (execute) time
18012362705,EXECUTE,11786,US,BACKEND,ROOT,Accelerator (execute) time
18012362705,EXECUTE,11686,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
18012362705,EXECUTE,12302,US,BACKEND,ROOT,QNN (execute) time
17992765474,EXECUTE,7174,US,NETRUN,ROOT,Graph 1: token_ar1_cl512_2_of_4
17992765474,EXECUTE,8,COUNT,BACKEND,ROOT,Number of HVX threads used
17992765474,EXECUTE,7106,US,BACKEND,ROOT,RPC (execute) time
17992765474,EXECUTE,6963,US,BACKEND,ROOT,QNN accelerator (execute) time
17992765474,EXECUTE,6783,US,BACKEND,ROOT,Accelerator (execute) time
17992765474,EXECUTE,6668,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
17992765474,EXECUTE,7163,US,BACKEND,ROOT,QNN (execute) time
17997041814,EXECUTE,7703,US,NETRUN,ROOT,Graph 1: token_ar1_cl512_2_of_4
17997041814,EXECUTE,8,COUNT,BACKEND,ROOT,Number of HVX threads used
17997041814,EXECUTE,7645,US,BACKEND,ROOT,RPC (execute) time
17997041814,EXECUTE,7326,US,BACKEND,ROOT,QNN accelerator (execute) time
17997041814,EXECUTE,7152,US,BACKEND,ROOT,Accelerator (execute) time
17997041814,EXECUTE,6719,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
17997041814,EXECUTE,7693,US,BACKEND,ROOT,QNN (execute) time
17999300433,EXECUTE,7298,US,NETRUN,ROOT,Graph 1: token_ar1_cl512_2_of_4
17999300433,EXECUTE,8,COUNT,BACKEND,ROOT,Number of HVX threads used
17999300433,EXECUTE,7235,US,BACKEND,ROOT,RPC (execute) time
17999300433,EXECUTE,6980,US,BACKEND,ROOT,QNN accelerator (execute) time
17999300433,EXECUTE,6798,US,BACKEND,ROOT,Accelerator (execute) time
17999300433,EXECUTE,6703,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
17999300433,EXECUTE,7287,US,BACKEND,ROOT,QNN (execute) time
18001207268,EXECUTE,7687,US,NETRUN,ROOT,Graph 1: token_ar1_cl512_2_of_4
18001207268,EXECUTE,8,COUNT,BACKEND,ROOT,Number of HVX threads used
18001207268,EXECUTE,7619,US,BACKEND,ROOT,RPC (execute) time
18001207268,EXECUTE,7351,US,BACKEND,ROOT,QNN accelerator (execute) time
18001207268,EXECUTE,7162,US,BACKEND,ROOT,Accelerator (execute) time
18001207268,EXECUTE,6709,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
18001207268,EXECUTE,7675,US,BACKEND,ROOT,QNN (execute) time
18003121330,EXECUTE,7307,US,NETRUN,ROOT,Graph 1: token_ar1_cl512_2_of_4
18003121330,EXECUTE,8,COUNT,BACKEND,ROOT,Number of HVX threads used
18003121330,EXECUTE,7231,US,BACKEND,ROOT,RPC (execute) time
18003121330,EXECUTE,6985,US,BACKEND,ROOT,QNN accelerator (execute) time
18003121330,EXECUTE,6805,US,BACKEND,ROOT,Accelerator (execute) time
18003121330,EXECUTE,6701,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
18003121330,EXECUTE,7292,US,BACKEND,ROOT,QNN (execute) time
18005040354,EXECUTE,7685,US,NETRUN,ROOT,Graph 1: token_ar1_cl512_2_of_4
18005040354,EXECUTE,8,COUNT,BACKEND,ROOT,Number of HVX threads used
18005040354,EXECUTE,7626,US,BACKEND,ROOT,RPC (execute) time
18005040354,EXECUTE,7332,US,BACKEND,ROOT,QNN accelerator (execute) time
18005040354,EXECUTE,7151,US,BACKEND,ROOT,Accelerator (execute) time
18005040354,EXECUTE,6692,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
18005040354,EXECUTE,7675,US,BACKEND,ROOT,QNN (execute) time
18006957419,EXECUTE,7333,US,NETRUN,ROOT,Graph 1: token_ar1_cl512_2_of_4
18006957419,EXECUTE,8,COUNT,BACKEND,ROOT,Number of HVX threads used
18006957419,EXECUTE,7257,US,BACKEND,ROOT,RPC (execute) time
18006957419,EXECUTE,6952,US,BACKEND,ROOT,QNN accelerator (execute) time
18006957419,EXECUTE,6776,US,BACKEND,ROOT,Accelerator (execute) time
18006957419,EXECUTE,6677,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
18006957419,EXECUTE,7318,US,BACKEND,ROOT,QNN (execute) time
18008864604,EXECUTE,7677,US,NETRUN,ROOT,Graph 1: token_ar1_cl512_2_of_4
18008864604,EXECUTE,8,COUNT,BACKEND,ROOT,Number of HVX threads used
18008864604,EXECUTE,7616,US,BACKEND,ROOT,RPC (execute) time
18008864604,EXECUTE,7373,US,BACKEND,ROOT,QNN accelerator (execute) time
18008864604,EXECUTE,7187,US,BACKEND,ROOT,Accelerator (execute) time
18008864604,EXECUTE,6735,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
18008864604,EXECUTE,7665,US,BACKEND,ROOT,QNN (execute) time
18010770598,EXECUTE,7261,US,NETRUN,ROOT,Graph 1: token_ar1_cl512_2_of_4
18010770598,EXECUTE,8,COUNT,BACKEND,ROOT,Number of HVX threads used
18010770598,EXECUTE,7201,US,BACKEND,ROOT,RPC (execute) time
18010770598,EXECUTE,6956,US,BACKEND,ROOT,QNN accelerator (execute) time
18010770598,EXECUTE,6775,US,BACKEND,ROOT,Accelerator (execute) time
18010770598,EXECUTE,6668,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
18010770598,EXECUTE,7249,US,BACKEND,ROOT,QNN (execute) time
18012683872,EXECUTE,7703,US,NETRUN,ROOT,Graph 1: token_ar1_cl512_2_of_4
18012683872,EXECUTE,8,COUNT,BACKEND,ROOT,Number of HVX threads used
18012683872,EXECUTE,7613,US,BACKEND,ROOT,RPC (execute) time
18012683872,EXECUTE,7311,US,BACKEND,ROOT,QNN accelerator (execute) time
18012683872,EXECUTE,7131,US,BACKEND,ROOT,Accelerator (execute) time
18012683872,EXECUTE,6677,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
18012683872,EXECUTE,7689,US,BACKEND,ROOT,QNN (execute) time
