input log file location, C:\Users\hotschmoe\Documents\GitHub\specula\results\qualcomm_dissect\prof\clean_part1\qnn-profiling-data_0.log
qnn-profile-viewer version, v2.45.40.260406130939
qnn-net-run version, v2.45.40.260406130939
Backend version, v2.45.40.260406130939
Msg Timestamp, Message, Time, Unit of Measurement, Timing Source, Event Level, Event Identifier
18154497102,INIT,675585,US,NETRUN,ROOT,null
18154497102,INIT,143140,US,BACKEND,ROOT,RPC (load binary) time
18154497102,INIT,142674,US,BACKEND,ROOT,QNN accelerator (load binary) time
18154497102,INIT,14688,US,BACKEND,ROOT,Accelerator (load binary) time
18154497102,INIT,12184,US,BACKEND,ROOT,Accelerator (load binary) time
18154497102,INIT,12185,US,BACKEND,ROOT,Accelerator (load binary) time
18154497102,INIT,17963,US,BACKEND,ROOT,Accelerator (load binary) time
18154497102,INIT,12161,US,BACKEND,ROOT,Accelerator (load binary) time
18154497102,INIT,12179,US,BACKEND,ROOT,Accelerator (load binary) time
18154497102,INIT,17318,US,BACKEND,ROOT,Accelerator (load binary) time
18154497102,INIT,12214,US,BACKEND,ROOT,Accelerator (load binary) time
18154497102,INIT,12188,US,BACKEND,ROOT,Accelerator (load binary) time
18154497102,INIT,17588,US,BACKEND,ROOT,Accelerator (load binary) time
18154497102,INIT,675547,US,BACKEND,ROOT,QNN (load binary) time
0,COMPOSE GRAPHS,0,US,NETRUN,ROOT,null
18156032839,DE-INIT,440105,US,NETRUN,ROOT,null
18156032839,DE-INIT,1662,US,BACKEND,ROOT,RPC (deinit) time
18156032839,DE-INIT,1407,US,BACKEND,ROOT,QNN Accelerator (deinit) time
18156032839,DE-INIT,161,US,BACKEND,ROOT,Accelerator (deinit) time
18156032839,DE-INIT,73,US,BACKEND,ROOT,Accelerator (deinit) time
18156032839,DE-INIT,73,US,BACKEND,ROOT,Accelerator (deinit) time
18156032839,DE-INIT,68,US,BACKEND,ROOT,Accelerator (deinit) time
18156032839,DE-INIT,68,US,BACKEND,ROOT,Accelerator (deinit) time
18156032839,DE-INIT,68,US,BACKEND,ROOT,Accelerator (deinit) time
18156032839,DE-INIT,68,US,BACKEND,ROOT,Accelerator (deinit) time
18156032839,DE-INIT,67,US,BACKEND,ROOT,Accelerator (deinit) time
18156032839,DE-INIT,67,US,BACKEND,ROOT,Accelerator (deinit) time
18156032839,DE-INIT,648,US,BACKEND,ROOT,Accelerator (deinit) time
18156032839,DE-INIT,440093,US,BACKEND,ROOT,QNN (deinit) time
18154513000,EXECUTE,1288,US,NETRUN,ROOT,Graph 0: prompt_ar128_cl512_1_of_4
18154513000,EXECUTE,8,COUNT,BACKEND,ROOT,Number of HVX threads used
18154513000,EXECUTE,1246,US,BACKEND,ROOT,RPC (execute) time
18154513000,EXECUTE,734,US,BACKEND,ROOT,QNN accelerator (execute) time
18154513000,EXECUTE,681,US,BACKEND,ROOT,Accelerator (execute) time
18154513000,EXECUTE,54,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
18154513000,EXECUTE,1280,US,BACKEND,ROOT,QNN (execute) time
18154790571,EXECUTE,108,US,NETRUN,ROOT,Graph 0: prompt_ar128_cl512_1_of_4
18154790571,EXECUTE,8,COUNT,BACKEND,ROOT,Number of HVX threads used
18154790571,EXECUTE,101,US,BACKEND,ROOT,RPC (execute) time
18154790571,EXECUTE,96,US,BACKEND,ROOT,QNN accelerator (execute) time
18154790571,EXECUTE,79,US,BACKEND,ROOT,Accelerator (execute) time
18154790571,EXECUTE,56,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
18154790571,EXECUTE,108,US,BACKEND,ROOT,QNN (execute) time
18154941452,EXECUTE,94,US,NETRUN,ROOT,Graph 0: prompt_ar128_cl512_1_of_4
18154941452,EXECUTE,8,COUNT,BACKEND,ROOT,Number of HVX threads used
18154941452,EXECUTE,73,US,BACKEND,ROOT,RPC (execute) time
