timestamp,target,draft,backend,threads,draft_max,n_predict_req,prompt_idx,n_drafted,n_accept,accept_pct,decoded_tokens,decoded_seconds,decoded_tok_per_sec,encoded_tok_per_sec,wallclock_s
2026-04-22T22:42:43.074791-07:00,Qwen3-8B-Q4_K_M.gguf,qwen3_0_6b_draft_v81_ctx256.pathb.bin,npu-draft+cpu-target,18,2,200,0,222,90,40.541,201,21.538,9.332,0.0,21.63
2026-04-22T22:43:05.929015-07:00,Qwen3-8B-Q4_K_M.gguf,qwen3_0_6b_draft_v81_ctx256.pathb.bin,npu-draft+cpu-target,18,3,200,0,315,96,30.476,201,22.783,8.822,0.0,22.85
2026-04-22T22:43:34.715485-07:00,Qwen3-8B-Q4_K_M.gguf,qwen3_0_6b_draft_v81_ctx256.pathb.bin,npu-draft+cpu-target,18,4,200,0,408,99,24.265,201,28.706,7.002,0.0,28.78
2026-04-22T22:44:32.489460-07:00,Qwen3-8B-Q4_K_M.gguf,qwen3_0_6b_draft_v81_ctx256.pathb.bin,npu-draft+cpu-target,18,8,200,0,792,102,12.879,201,57.68,3.485,0.0,57.78
2026-04-22T22:44:47.836997-07:00,Qwen3-8B-Q4_K_M.gguf,qwen3_0_6b_draft_v81_ctx256.pathb.bin,npu-draft+cpu-target,18,2,200,1,176,112,63.636,200,15.275,13.094,0.0,15.34
2026-04-22T22:45:06.698441-07:00,Qwen3-8B-Q4_K_M.gguf,qwen3_0_6b_draft_v81_ctx256.pathb.bin,npu-draft+cpu-target,18,3,200,1,243,119,48.971,200,18.78,10.65,0.0,18.86
2026-04-22T22:45:28.833947-07:00,Qwen3-8B-Q4_K_M.gguf,qwen3_0_6b_draft_v81_ctx256.pathb.bin,npu-draft+cpu-target,18,4,200,1,292,127,43.493,200,22.058,9.067,0.0,22.14
2026-04-22T22:46:10.583892-07:00,Qwen3-8B-Q4_K_M.gguf,qwen3_0_6b_draft_v81_ctx256.pathb.bin,npu-draft+cpu-target,18,8,200,1,512,136,26.562,200,41.615,4.806,0.0,41.76
2026-04-22T22:46:25.840797-07:00,Qwen3-8B-Q4_K_M.gguf,qwen3_0_6b_draft_v81_ctx256.pathb.bin,npu-draft+cpu-target,18,2,200,2,190,107,56.316,202,15.134,13.347,0.0,15.24
2026-04-22T22:46:45.477123-07:00,Qwen3-8B-Q4_K_M.gguf,qwen3_0_6b_draft_v81_ctx256.pathb.bin,npu-draft+cpu-target,18,3,200,2,258,117,45.349,203,19.579,10.368,0.0,19.65
2026-04-22T22:47:08.855582-07:00,Qwen3-8B-Q4_K_M.gguf,qwen3_0_6b_draft_v81_ctx256.pathb.bin,npu-draft+cpu-target,18,4,200,2,308,127,41.234,204,23.29,8.759,0.0,23.37
2026-04-22T22:47:53.615375-07:00,Qwen3-8B-Q4_K_M.gguf,qwen3_0_6b_draft_v81_ctx256.pathb.bin,npu-draft+cpu-target,18,8,200,2,560,134,23.929,204,44.641,4.57,0.0,44.77
2026-04-22T22:48:09.735290-07:00,Qwen3-8B-Q4_K_M.gguf,qwen3_0_6b_draft_v81_ctx256.pathb.bin,npu-draft+cpu-target,18,2,200,3,194,103,53.093,200,16.032,12.475,0.0,16.11
2026-04-22T22:48:27.303949-07:00,Qwen3-8B-Q4_K_M.gguf,qwen3_0_6b_draft_v81_ctx256.pathb.bin,npu-draft+cpu-target,18,3,200,3,219,127,57.991,200,17.498,11.43,0.0,17.58
2026-04-22T22:48:48.124446-07:00,Qwen3-8B-Q4_K_M.gguf,qwen3_0_6b_draft_v81_ctx256.pathb.bin,npu-draft+cpu-target,18,4,200,3,276,132,47.826,201,20.72,9.701,0.0,20.81
2026-04-22T22:49:24.380959-07:00,Qwen3-8B-Q4_K_M.gguf,qwen3_0_6b_draft_v81_ctx256.pathb.bin,npu-draft+cpu-target,18,8,200,3,456,148,32.456,205,36.16,5.669,0.0,36.27
2026-04-22T22:49:41.195925-07:00,Qwen3-8B-Q4_K_M.gguf,qwen3_0_6b_draft_v81_ctx256.pathb.bin,npu-draft+cpu-target,18,2,200,4,200,101,50.5,201,16.696,12.039,0.0,16.8
2026-04-22T22:50:01.888643-07:00,Qwen3-8B-Q4_K_M.gguf,qwen3_0_6b_draft_v81_ctx256.pathb.bin,npu-draft+cpu-target,18,3,200,4,276,109,39.493,201,20.605,9.755,0.0,20.69
2026-04-22T22:50:27.552496-07:00,Qwen3-8B-Q4_K_M.gguf,qwen3_0_6b_draft_v81_ctx256.pathb.bin,npu-draft+cpu-target,18,4,200,4,344,115,33.43,201,25.575,7.859,0.0,25.66
2026-04-22T22:51:18.470230-07:00,Qwen3-8B-Q4_K_M.gguf,qwen3_0_6b_draft_v81_ctx256.pathb.bin,npu-draft+cpu-target,18,8,200,4,632,122,19.304,201,50.838,3.954,0.0,50.92
2026-04-22T22:51:35.633296-07:00,Qwen3-8B-Q4_K_M.gguf,qwen3_0_6b_draft_v81_ctx256.pathb.bin,npu-draft+cpu-target,18,2,200,5,210,95,45.238,200,17.081,11.709,0.0,17.16
2026-04-22T22:51:56.959237-07:00,Qwen3-8B-Q4_K_M.gguf,qwen3_0_6b_draft_v81_ctx256.pathb.bin,npu-draft+cpu-target,18,3,200,5,285,105,36.842,200,21.252,9.411,0.0,21.33
2026-04-22T22:52:23.981124-07:00,Qwen3-8B-Q4_K_M.gguf,qwen3_0_6b_draft_v81_ctx256.pathb.bin,npu-draft+cpu-target,18,4,200,5,368,108,29.348,200,26.952,7.42,0.0,27.02
2026-04-22T22:53:19.963055-07:00,Qwen3-8B-Q4_K_M.gguf,qwen3_0_6b_draft_v81_ctx256.pathb.bin,npu-draft+cpu-target,18,8,200,5,696,113,16.236,200,55.913,3.577,0.0,55.99
2026-04-22T22:53:37.758901-07:00,Qwen3-8B-Q4_K_M.gguf,qwen3_0_6b_draft_v81_ctx256.pathb.bin,npu-draft+cpu-target,18,2,200,6,218,91,41.743,200,17.712,11.292,0.0,17.79
2026-04-22T22:54:00.700707-07:00,Qwen3-8B-Q4_K_M.gguf,qwen3_0_6b_draft_v81_ctx256.pathb.bin,npu-draft+cpu-target,18,3,200,6,303,101,33.333,202,22.869,8.833,0.0,22.94
2026-04-22T22:54:29.371722-07:00,Qwen3-8B-Q4_K_M.gguf,qwen3_0_6b_draft_v81_ctx256.pathb.bin,npu-draft+cpu-target,18,4,200,6,388,107,27.577,204,28.591,7.135,0.0,28.67
