timestamp,target,draft,backend,threads,draft_max,n_predict_req,prompt_idx,n_drafted,n_accept,accept_pct,decoded_tokens,decoded_seconds,decoded_tok_per_sec,encoded_tok_per_sec,wallclock_s
2026-04-21T18:08:43.897699-07:00,Qwen3-8B-Q4_K_M.gguf,qwen3_0_6b_draft_v81_ctx512.pathbmask.bin,npu-draft+cpu-target,18,2,256,0,204,154,75.49,256,32.775,7.811,0.0,32.89
2026-04-21T18:09:19.812606-07:00,Qwen3-8B-Q4_K_M.gguf,qwen3_0_6b_draft_v81_ctx512.pathbmask.bin,npu-draft+cpu-target,18,3,256,0,246,174,70.732,256,35.81,7.149,0.0,35.91
2026-04-21T18:09:59.938465-07:00,Qwen3-8B-Q4_K_M.gguf,qwen3_0_6b_draft_v81_ctx512.pathbmask.bin,npu-draft+cpu-target,18,4,256,0,292,184,63.014,257,40.031,6.42,0.0,40.12
2026-04-21T18:10:55.479804-07:00,Qwen3-8B-Q4_K_M.gguf,qwen3_0_6b_draft_v81_ctx512.pathbmask.bin,npu-draft+cpu-target,18,8,256,0,440,204,46.364,259,55.373,4.677,0.0,55.54
2026-04-21T18:11:26.464006-07:00,Qwen3-8B-Q4_K_M.gguf,qwen3_0_6b_draft_v81_ctx512.pathbmask.bin,npu-draft+cpu-target,18,2,256,1,182,165,90.659,256,30.859,8.296,0.0,30.98
2026-04-21T18:11:57.853999-07:00,Qwen3-8B-Q4_K_M.gguf,qwen3_0_6b_draft_v81_ctx512.pathbmask.bin,npu-draft+cpu-target,18,3,256,1,204,190,93.137,258,31.271,8.25,0.0,31.39
2026-04-21T18:12:30.506273-07:00,Qwen3-8B-Q4_K_M.gguf,qwen3_0_6b_draft_v81_ctx512.pathbmask.bin,npu-draft+cpu-target,18,4,256,1,228,201,88.158,258,32.532,7.931,0.0,32.65
2026-04-21T18:13:08.055921-07:00,Qwen3-8B-Q4_K_M.gguf,qwen3_0_6b_draft_v81_ctx512.pathbmask.bin,npu-draft+cpu-target,18,8,256,1,288,220,76.389,256,37.405,6.844,0.0,37.56
2026-04-21T18:13:39.376833-07:00,Qwen3-8B-Q4_K_M.gguf,qwen3_0_6b_draft_v81_ctx512.pathbmask.bin,npu-draft+cpu-target,18,2,256,2,190,162,85.263,257,31.203,8.236,0.0,31.31
2026-04-21T18:14:12.159681-07:00,Qwen3-8B-Q4_K_M.gguf,qwen3_0_6b_draft_v81_ctx512.pathbmask.bin,npu-draft+cpu-target,18,3,256,2,216,185,85.648,257,32.657,7.87,0.0,32.78
2026-04-21T18:14:46.905107-07:00,Qwen3-8B-Q4_K_M.gguf,qwen3_0_6b_draft_v81_ctx512.pathbmask.bin,npu-draft+cpu-target,18,4,256,2,244,196,80.328,257,34.622,7.423,0.0,34.74
2026-04-21T18:15:29.199005-07:00,Qwen3-8B-Q4_K_M.gguf,qwen3_0_6b_draft_v81_ctx512.pathbmask.bin,npu-draft+cpu-target,18,8,256,2,328,219,66.768,260,42.171,6.165,0.0,42.29
2026-04-21T18:16:02.049580-07:00,Qwen3-8B-Q4_K_M.gguf,qwen3_0_6b_draft_v81_ctx512.pathbmask.bin,npu-draft+cpu-target,18,2,256,3,202,157,77.723,258,32.744,7.879,0.0,32.85
2026-04-21T18:16:36.502261-07:00,Qwen3-8B-Q4_K_M.gguf,qwen3_0_6b_draft_v81_ctx512.pathbmask.bin,npu-draft+cpu-target,18,3,256,3,234,180,76.923,258,34.357,7.509,0.0,34.45
2026-04-21T18:17:14.760093-07:00,Qwen3-8B-Q4_K_M.gguf,qwen3_0_6b_draft_v81_ctx512.pathbmask.bin,npu-draft+cpu-target,18,4,256,3,276,191,69.203,260,38.159,6.814,0.0,38.26
2026-04-21T18:18:04.617167-07:00,Qwen3-8B-Q4_K_M.gguf,qwen3_0_6b_draft_v81_ctx512.pathbmask.bin,npu-draft+cpu-target,18,8,256,3,392,210,53.571,259,49.73,5.208,0.0,49.86
2026-04-21T18:18:37.336206-07:00,Qwen3-8B-Q4_K_M.gguf,qwen3_0_6b_draft_v81_ctx512.pathbmask.bin,npu-draft+cpu-target,18,2,256,4,204,156,76.471,258,32.6,7.914,0.0,32.72
2026-04-21T18:19:13.991818-07:00,Qwen3-8B-Q4_K_M.gguf,qwen3_0_6b_draft_v81_ctx512.pathbmask.bin,npu-draft+cpu-target,18,3,256,4,249,176,70.683,259,36.53,7.09,0.0,36.65
2026-04-21T18:19:54.724124-07:00,Qwen3-8B-Q4_K_M.gguf,qwen3_0_6b_draft_v81_ctx512.pathbmask.bin,npu-draft+cpu-target,18,4,256,4,288,188,65.278,260,40.602,6.404,0.0,40.73
2026-04-21T18:20:50.781684-07:00,Qwen3-8B-Q4_K_M.gguf,qwen3_0_6b_draft_v81_ctx512.pathbmask.bin,npu-draft+cpu-target,18,8,256,4,424,211,49.764,264,55.947,4.719,0.0,56.06
2026-04-21T18:21:25.610419-07:00,Qwen3-8B-Q4_K_M.gguf,qwen3_0_6b_draft_v81_ctx512.pathbmask.bin,npu-draft+cpu-target,18,2,256,5,206,153,74.272,256,34.725,7.372,0.0,34.82
2026-04-21T18:22:04.526493-07:00,Qwen3-8B-Q4_K_M.gguf,qwen3_0_6b_draft_v81_ctx512.pathbmask.bin,npu-draft+cpu-target,18,3,256,5,255,171,67.059,256,38.823,6.594,0.0,38.92
2026-04-21T18:22:47.100533-07:00,Qwen3-8B-Q4_K_M.gguf,qwen3_0_6b_draft_v81_ctx512.pathbmask.bin,npu-draft+cpu-target,18,4,256,5,296,182,61.486,256,42.464,6.029,0.0,42.57
2026-04-21T18:23:45.862422-07:00,Qwen3-8B-Q4_K_M.gguf,qwen3_0_6b_draft_v81_ctx512.pathbmask.bin,npu-draft+cpu-target,18,8,256,5,464,198,42.672,256,58.627,4.367,0.0,58.76
2026-04-21T18:24:18.665622-07:00,Qwen3-8B-Q4_K_M.gguf,qwen3_0_6b_draft_v81_ctx512.pathbmask.bin,npu-draft+cpu-target,18,2,256,6,202,157,77.723,258,32.687,7.893,0.0,32.8
2026-04-21T18:24:55.651046-07:00,Qwen3-8B-Q4_K_M.gguf,qwen3_0_6b_draft_v81_ctx512.pathbmask.bin,npu-draft+cpu-target,18,3,256,6,255,172,67.451,257,36.887,6.967,0.0,36.99
2026-04-21T18:25:34.645954-07:00,Qwen3-8B-Q4_K_M.gguf,qwen3_0_6b_draft_v81_ctx512.pathbmask.bin,npu-draft+cpu-target,18,4,256,6,280,187,66.786,257,38.874,6.611,0.0,38.99
2026-04-21T18:26:27.282658-07:00,Qwen3-8B-Q4_K_M.gguf,qwen3_0_6b_draft_v81_ctx512.pathbmask.bin,npu-draft+cpu-target,18,8,256,6,416,209,50.24,261,52.516,4.97,0.0,52.64
2026-04-21T18:26:58.870194-07:00,Qwen3-8B-Q4_K_M.gguf,qwen3_0_6b_draft_v81_ctx512.pathbmask.bin,npu-draft+cpu-target,18,2,256,7,190,162,85.263,257,31.46,8.169,0.0,31.59
2026-04-21T18:27:32.476807-07:00,Qwen3-8B-Q4_K_M.gguf,qwen3_0_6b_draft_v81_ctx512.pathbmask.bin,npu-draft+cpu-target,18,3,256,7,225,181,80.444,256,33.494,7.643,0.0,33.61
2026-04-21T18:28:07.923576-07:00,Qwen3-8B-Q4_K_M.gguf,qwen3_0_6b_draft_v81_ctx512.pathbmask.bin,npu-draft+cpu-target,18,4,256,7,252,193,76.587,256,35.319,7.248,0.0,35.45
2026-04-21T18:28:51.868415-07:00,Qwen3-8B-Q4_K_M.gguf,qwen3_0_6b_draft_v81_ctx512.pathbmask.bin,npu-draft+cpu-target,18,8,256,7,344,220,63.953,263,43.814,6.003,0.0,43.95
2026-04-21T18:29:22.296442-07:00,Qwen3-8B-Q4_K_M.gguf,qwen3_0_6b_draft_v81_ctx512.pathbmask.bin,npu-draft+cpu-target,18,2,256,8,180,166,92.222,256,30.333,8.44,0.0,30.43
2026-04-21T18:29:57.073579-07:00,Qwen3-8B-Q4_K_M.gguf,qwen3_0_6b_draft_v81_ctx512.pathbmask.bin,npu-draft+cpu-target,18,3,256,8,234,180,76.923,258,34.663,7.443,0.0,34.78
2026-04-21T18:30:33.415976-07:00,Qwen3-8B-Q4_K_M.gguf,qwen3_0_6b_draft_v81_ctx512.pathbmask.bin,npu-draft+cpu-target,18,4,256,8,256,196,76.562,260,36.21,7.18,0.0,36.34
2026-04-21T18:31:20.340637-07:00,Qwen3-8B-Q4_K_M.gguf,qwen3_0_6b_draft_v81_ctx512.pathbmask.bin,npu-draft+cpu-target,18,8,256,8,368,213,57.88,259,46.782,5.536,0.0,46.92
2026-04-21T18:31:53.454383-07:00,Qwen3-8B-Q4_K_M.gguf,qwen3_0_6b_draft_v81_ctx512.pathbmask.bin,npu-draft+cpu-target,18,2,256,9,206,155,75.243,258,32.999,7.818,0.0,33.11
2026-04-21T18:32:30.636004-07:00,Qwen3-8B-Q4_K_M.gguf,qwen3_0_6b_draft_v81_ctx512.pathbmask.bin,npu-draft+cpu-target,18,3,256,9,258,171,66.279,257,37.054,6.936,0.0,37.18
