timestamp,target,draft,backend,threads,draft_max,n_predict_req,prompt_idx,n_drafted,n_accept,accept_pct,decoded_tokens,decoded_seconds,decoded_tok_per_sec,encoded_tok_per_sec,wallclock_s
2026-04-20T13:50:23.3022745-07:00,Qwen3-8B-Q4_K_M.gguf,Qwen3-0.6B-Q8_0.gguf,opencl,18,3,256,0,252,172,68.254,257,30.689,8.374,34.336,47.34
2026-04-20T13:51:08.6519551-07:00,Qwen3-8B-Q4_K_M.gguf,Qwen3-0.6B-Q8_0.gguf,opencl,18,3,256,1,231,179,77.489,257,28.297,9.082,48.671,45.32
2026-04-20T13:51:52.0013068-07:00,Qwen3-8B-Q4_K_M.gguf,Qwen3-0.6B-Q8_0.gguf,opencl,18,3,256,2,216,184,85.185,257,26.398,9.736,56.239,43.33
2026-04-20T13:52:37.4052399-07:00,Qwen3-8B-Q4_K_M.gguf,Qwen3-0.6B-Q8_0.gguf,opencl,18,3,256,3,231,179,77.489,257,28.119,9.140,40.291,45.38
2026-04-20T13:53:24.7976765-07:00,Qwen3-8B-Q4_K_M.gguf,Qwen3-0.6B-Q8_0.gguf,opencl,18,3,256,4,249,173,69.478,257,30.279,8.488,44.171,47.38
2026-04-20T13:54:06.1497471-07:00,Qwen3-8B-Q4_K_M.gguf,Qwen3-0.6B-Q8_0.gguf,opencl,18,3,256,5,204,188,92.157,257,24.813,10.357,42.535,41.32
2026-04-20T13:54:52.4805643-07:00,Qwen3-8B-Q4_K_M.gguf,Qwen3-0.6B-Q8_0.gguf,opencl,18,3,256,6,243,178,73.251,260,29.600,8.784,42.615,46.32
2026-04-20T13:55:35.7399601-07:00,Qwen3-8B-Q4_K_M.gguf,Qwen3-0.6B-Q8_0.gguf,opencl,18,3,256,7,222,185,83.333,260,27.048,9.612,44.722,43.24
2026-04-20T13:56:19.1383221-07:00,Qwen3-8B-Q4_K_M.gguf,Qwen3-0.6B-Q8_0.gguf,opencl,18,3,256,8,219,184,84.018,258,26.733,9.651,47.839,43.38
2026-04-20T13:57:07.5224739-07:00,Qwen3-8B-Q4_K_M.gguf,Qwen3-0.6B-Q8_0.gguf,opencl,18,3,256,9,258,171,66.279,258,31.517,8.186,50.449,48.35
2026-04-20T13:57:46.8621960-07:00,Qwen3-8B-Q4_K_M.gguf,Qwen3-0.6B-Q8_0.gguf,opencl,18,8,256,0,424,203,47.877,257,23.010,11.169,34.719,39.32
2026-04-20T13:58:23.1941499-07:00,Qwen3-8B-Q4_K_M.gguf,Qwen3-0.6B-Q8_0.gguf,opencl,18,8,256,1,368,210,57.065,257,20.144,12.758,49.433,36.32
2026-04-20T13:58:57.4801348-07:00,Qwen3-8B-Q4_K_M.gguf,Qwen3-0.6B-Q8_0.gguf,opencl,18,8,256,2,328,218,66.463,260,17.919,14.510,56.431,34.26
2026-04-20T13:59:34.7583390-07:00,Qwen3-8B-Q4_K_M.gguf,Qwen3-0.6B-Q8_0.gguf,opencl,18,8,256,3,376,215,57.181,263,20.512,12.821,40.350,37.27
2026-04-20T14:00:15.1298111-07:00,Qwen3-8B-Q4_K_M.gguf,Qwen3-0.6B-Q8_0.gguf,opencl,18,8,256,4,440,206,46.818,262,23.950,10.940,44.118,40.34
2026-04-20T14:00:46.3507584-07:00,Qwen3-8B-Q4_K_M.gguf,Qwen3-0.6B-Q8_0.gguf,opencl,18,8,256,5,264,225,85.227,259,14.344,18.056,42.903,31.2
2026-04-20T14:01:25.6602532-07:00,Qwen3-8B-Q4_K_M.gguf,Qwen3-0.6B-Q8_0.gguf,opencl,18,8,256,6,416,208,50.000,261,22.630,11.533,42.717,39.3
2026-04-20T14:01:59.9886320-07:00,Qwen3-8B-Q4_K_M.gguf,Qwen3-0.6B-Q8_0.gguf,opencl,18,8,256,7,328,217,66.159,259,17.920,14.453,44.114,34.31
2026-04-20T14:02:34.3189986-07:00,Qwen3-8B-Q4_K_M.gguf,Qwen3-0.6B-Q8_0.gguf,opencl,18,8,256,8,328,223,67.988,265,17.994,14.727,48.612,34.32
2026-04-20T14:03:14.5820383-07:00,Qwen3-8B-Q4_K_M.gguf,Qwen3-0.6B-Q8_0.gguf,opencl,18,8,256,9,440,207,47.045,263,24.096,10.915,50.806,40.24
