timestamp,target,draft,backend,threads,draft_max,n_predict_req,prompt_idx,n_drafted,n_accept,accept_pct,decoded_tokens,decoded_seconds,decoded_tok_per_sec,encoded_tok_per_sec,wallclock_s
2026-04-20T13:29:37.5556384-07:00,Qwen3-8B-Q4_K_M.gguf,Qwen3-0.6B-Q8_0.gguf,opencl,18,3,256,0,255,171,67.059,257,30.265,8.492,35.998,46.95
2026-04-20T13:30:22.0362500-07:00,Qwen3-8B-Q4_K_M.gguf,Qwen3-0.6B-Q8_0.gguf,opencl,18,3,256,1,240,176,73.333,257,27.956,9.193,51.751,44.46
2026-04-20T13:31:03.4437164-07:00,Qwen3-8B-Q4_K_M.gguf,Qwen3-0.6B-Q8_0.gguf,opencl,18,3,256,2,216,184,85.185,257,25.186,10.204,64.206,41.38
2026-04-20T13:31:46.8525561-07:00,Qwen3-8B-Q4_K_M.gguf,Qwen3-0.6B-Q8_0.gguf,opencl,18,3,256,3,234,178,76.068,257,27.124,9.475,46.171,43.41
2026-04-20T13:32:32.2666894-07:00,Qwen3-8B-Q4_K_M.gguf,Qwen3-0.6B-Q8_0.gguf,opencl,18,3,256,4,249,173,69.478,257,28.928,8.884,50.525,45.39
2026-04-20T13:33:11.6780741-07:00,Qwen3-8B-Q4_K_M.gguf,Qwen3-0.6B-Q8_0.gguf,opencl,18,3,256,5,204,188,92.157,257,23.629,10.876,46.695,39.4
2026-04-20T13:33:56.0709607-07:00,Qwen3-8B-Q4_K_M.gguf,Qwen3-0.6B-Q8_0.gguf,opencl,18,3,256,6,243,178,73.251,260,28.236,9.208,45.454,44.37
2026-04-20T13:34:38.4479189-07:00,Qwen3-8B-Q4_K_M.gguf,Qwen3-0.6B-Q8_0.gguf,opencl,18,3,256,7,222,185,83.333,260,25.950,10.019,49.911,42.36
2026-04-20T13:35:19.8340895-07:00,Qwen3-8B-Q4_K_M.gguf,Qwen3-0.6B-Q8_0.gguf,opencl,18,3,256,8,219,184,84.018,258,25.485,10.124,50.407,41.37
2026-04-20T13:36:05.2426553-07:00,Qwen3-8B-Q4_K_M.gguf,Qwen3-0.6B-Q8_0.gguf,opencl,18,3,256,9,255,172,67.451,258,29.582,8.721,52.971,45.4
