=== NPU-spec sweep ===
  prompts    : [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]
  k-values   : [2, 3, 4, 8]
  n_predict  : 200
  mode       : async-pipelined  p_min=0.0
  csv out    : C:\Users\hotschmoe\Documents\GitHub\specula\results\spec-npu-Qwen3-8B-Q4_K_M-vs-Qwen3-0.6B-pathb-async-pipelined-20260422-224213.csv
launching llama-server:
    C:\Users\hotschmoe\Documents\GitHub\specula\llama.cpp\build-cpu\bin\llama-server.exe -m C:\Users\hotschmoe\Documents\GitHub\specula\models\Qwen3-8B-Q4_K_M.gguf --host 127.0.0.1 --port 8088 -c 320 -t 18 --no-warmup
    log -> C:\Users\hotschmoe\Documents\GitHub\specula\results\spec-npu-server-20260422-224213.log

--- waiting for /health (timeout 180s) ---
  server healthy

--- loading CPU ONNX (FP32, dynamic past_len) ---
  loaded in 2.6 s

--- loading NPU Path B-mask binary ---
  loading wrapper ONNX qwen3_0_6b_draft_v81_ctx256.pathb.w4a16-local-pr.wrapper.onnx via legacy QNN EP ...
  loaded in 1.3 s
  loaded 116 quant specs (w4a16-local-pr)

==== prompt p0 (16 toks): 'def fibonacci(n):\n    # Return the nth Fibona...' ====

-- cell 1/40: p0 k=2 n_predict=200 --

--- CPU prefill (P=16) ---
  elapsed           : 0.07 s
  first candidate   : 198  -> '\n'
  r001 L= 16 drafts=[198, 262]  target=[198, 262]+b=671 j=2 bonus=671 acc='\n   ' new='\n    #'
  r002 L= 19 drafts=[5351, 1142]  target=[9008, 264]+b=21438 j=0 bonus=9008 acc=<none> new=' Initialize'
  r003 L= 20 drafts=[279, 1140]  target=[264, 21438]+b=2022 j=0 bonus=264 acc=<none> new=' a'
  r004 L= 21 drafts=[1140, 311]  target=[21438, 2022]+b=10997 j=0 bonus=21438 acc=<none> new=' memo'
  r005 L= 22 drafts=[10997, 311]  target=[2022, 10997]+b=198 j=0 bonus=2022 acc=<none> new='ization'
  r006 L= 23 drafts=[1965, 448]  target=[10997, 198]+b=262 j=0 bonus=10997 acc=<none> new=' dictionary'
  r007 L= 24 drafts=[311, 3553]  target=[198, 262]+b=21438 j=0 bonus=198 acc=<none> new='\n'
  r008 L= 25 drafts=[262, 21438]  target=[262, 21438]+b=284 j=2 bonus=284 acc='    memo' new='    memo ='
  r009 L= 28 drafts=[5613, 1066]  target=[314, 15]+b=25 j=0 bonus=314 acc=<none> new=' {'
  r010 L= 29 drafts=[15, 25]  target=[15, 25]+b=220 j=2 bonus=220 acc='0:' new='0: '
  r011 L= 32 drafts=[15, 11]  target=[15, 11]+b=220 j=2 bonus=220 acc='0,' new='0, '
  r012 L= 35 drafts=[220, 16]  target=[16, 25]+b=220 j=0 bonus=16 acc=<none> new='1'
  r013 L= 36 drafts=[25, 220]  target=[25, 220]+b=16 j=2 bonus=16 acc=': ' new=': 1'
  r014 L= 39 drafts=[11, 92]  target=[532, 1066]+b=262 j=0 bonus=532 acc=<none> new='}\n'
  r015 L= 40 drafts=[262, 671]  target=[1066, 262]+b=671 j=0 bonus=1066 acc=<none> new='    \n'
  r016 L= 41 drafts=[262, 421]  target=[262, 671]+b=18614 j=1 bonus=671 acc='   ' new='    #'
  r017 L= 43 drafts=[5351, 1142]  target=[18614, 264]+b=13137 j=0 bonus=18614 acc=<none> new=' Define'
  r018 L= 44 drafts=[264, 30819]  target=[264, 13137]+b=729 j=1 bonus=13137 acc=' a' new=' a helper'
  r019 L= 46 drafts=[729, 311]  target=[729, 311]+b=12564 j=2 bonus=12564 acc=' function to' new=' function to compute'
  r020 L= 49 drafts=[279, 1102]  target=[279, 79683]+b=1372 j=1 bonus=79683 acc=' the' new=' the Fibonacci'
  r021 L= 51 drafts=[1372, 198]  target=[1372, 52847]+b=448 j=1 bonus=52847 acc=' number' new=' number recursively'
  r022 L= 53 drafts=[198, 262]  target=[448, 21438]+b=2022 j=0 bonus=448 acc=<none> new=' with'
  r023 L= 54 drafts=[21438, 2022]  target=[21438, 2022]+b=198 j=2 bonus=198 acc=' memoization' new=' memoization\n'
  r024 L= 57 drafts=[262, 707]  target=[262, 707]+b=15801 j=2 bonus=15801 acc='    def' new='    def fib'
  r025 L= 60 drafts=[1445, 11]  target=[1445, 982]+b=286 j=1 bonus=982 acc='(n' new='(n):\n'
  r026 L= 62 drafts=[286, 421]  target=[286, 421]+b=308 j=2 bonus=308 acc='        if' new='        if n'
  r027 L= 65 drafts=[366, 220]  target=[537, 304]+b=21438 j=0 bonus=537 acc=<none> new=' not'
  r028 L= 66 drafts=[304, 279]  target=[304, 21438]+b=510 j=1 bonus=21438 acc=' in' new=' in memo'
  r029 L= 68 drafts=[510, 310]  target=[510, 310]+b=21438 j=2 bonus=21438 acc=':\n           ' new=':\n            memo'
  r030 L= 71 drafts=[284, 314]  target=[7669, 60]+b=284 j=0 bonus=7669 acc=<none> new='[n'
  r031 L= 72 drafts=[60, 284]  target=[60, 284]+b=15801 j=2 bonus=15801 acc='] =' new='] = fib'
  r032 L= 75 drafts=[1445, 8]  target=[1445, 12]+b=16 j=1 bonus=12 acc='(n' new='(n-'
  r033 L= 77 drafts=[16, 11]  target=[16, 8]+b=488 j=1 bonus=8 acc='1' new='1)'
  r034 L= 79 drafts=[488, 15801]  target=[488, 15801]+b=1445 j=2 bonus=1445 acc=' + fib' new=' + fib(n'
  r035 L= 82 drafts=[12, 17]  target=[12, 17]+b=340 j=2 bonus=340 acc='-2' new='-2)\n'
  r036 L= 85 drafts=[262, 770]  target=[286, 470]+b=21438 j=0 bonus=286 acc=<none> new='       '
  r037 L= 86 drafts=[220, 16]  target=[470, 21438]+b=7669 j=0 bonus=470 acc=<none> new=' return'
